Date,TempC
6/27/2025 5:45,14.9
6/27/2025 6:00,14.9
6/27/2025 6:15,15.091
6/27/2025 6:30,15.378
6/27/2025 6:45,15.378
6/27/2025 7:00,15.378
6/27/2025 7:15,15.473
6/27/2025 7:30,15.664
6/27/2025 7:45,16.046
6/27/2025 8:00,16.046
6/27/2025 8:15,16.332
6/27/2025 8:30,17.284
6/27/2025 8:45,16.999
6/27/2025 9:00,17.57
6/27/2025 9:15,18.14
6/27/2025 9:30,18.331
6/27/2025 9:45,19.092
6/27/2025 10:00,16.713
6/27/2025 10:15,16.618
6/27/2025 10:30,16.713
6/27/2025 10:45,16.713
6/27/2025 11:00,16.618
6/27/2025 11:15,16.618
6/27/2025 11:30,16.618
6/27/2025 11:45,16.618
6/27/2025 12:00,16.523
6/27/2025 12:15,16.523
6/27/2025 12:30,16.523
6/27/2025 12:45,16.713
6/27/2025 13:00,16.903
6/27/2025 13:15,16.999
6/27/2025 13:30,17.189
6/27/2025 13:45,17.379
6/27/2025 14:00,17.665
6/27/2025 14:15,17.95
6/27/2025 14:30,18.14
6/27/2025 14:45,18.711
6/27/2025 15:00,18.806
6/27/2025 15:15,18.331
6/27/2025 15:30,18.331
6/27/2025 15:45,18.426
6/27/2025 16:00,18.426
6/27/2025 16:15,18.521
6/27/2025 16:30,18.806
6/27/2025 16:45,19.853
6/27/2025 17:00,19.377
6/27/2025 17:15,19.472
6/27/2025 17:30,20.805
6/27/2025 17:45,20.329
6/27/2025 18:00,20.329
6/27/2025 18:15,19.853
6/27/2025 18:30,19.853
6/27/2025 18:45,18.996
6/27/2025 19:00,18.806
6/27/2025 19:15,19.092
6/27/2025 19:30,18.616
6/27/2025 19:45,18.045
6/27/2025 20:00,17.855
6/27/2025 20:15,17.665
6/27/2025 20:30,17.665
6/27/2025 20:45,17.665
6/27/2025 21:00,17.57
6/27/2025 21:15,17.57
6/27/2025 21:30,17.57
6/27/2025 21:45,17.284
6/27/2025 22:00,16.713
6/27/2025 22:15,16.713
6/27/2025 22:30,16.713
6/27/2025 22:45,16.618
6/27/2025 23:00,16.523
6/27/2025 23:15,16.427
6/27/2025 23:30,16.427
6/27/2025 23:45,16.427
6/28/2025 0:00,16.332
6/28/2025 0:15,16.332
6/28/2025 0:30,16.332
6/28/2025 0:45,16.332
6/28/2025 1:00,16.427
6/28/2025 1:15,16.427
6/28/2025 1:30,16.427
6/28/2025 1:45,16.618
