Model:	LI-7810
SN:	TG10-01881
Software Version:	2.3.8
Timestamp:	2025-06-12 09:07:51
Timezone:	Etc/Greenwich
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1749719347	984693050	317	256	""	2025-06-12	09:09:07	nan	nan	nan	102.493	23.851	102.55	33.2337	0	0	23.974	-16000	0	16.0329	  1
DATA	1749719348	984693050	321	256	""	2025-06-12	09:09:08	nan	nan	nan	102.494	23.8704	102.55	33.2337	0	0	23.9972	-16000	0	16.0321	 99
DATA	1749719349	984693050	325	256	""	2025-06-12	09:09:09	nan	nan	nan	102.493	23.8895	102.549	33.2337	0	0	24.0198	-16000	0	16.0313	164
DATA	1749719350	984693050	329	256	""	2025-06-12	09:09:10	nan	nan	nan	102.492	23.9085	102.549	33.2337	0	0	24.0424	-16000	0	16.0301	132
DATA	1749719351	984402894	333	256	""	2025-06-12	09:09:11	nan	nan	nan	102.493	23.9274	102.549	33.2339	0	0	24.065	-16000	0	16.0289	104
DATA	1749719352	984402894	337	256	""	2025-06-12	09:09:12	nan	nan	nan	102.492	23.9461	102.55	33.2345	0	0	24.0876	-16000	0	16.0282	 99
DATA	1749719353	984402894	341	256	""	2025-06-12	09:09:13	nan	nan	nan	102.493	23.9641	102.549	33.2345	0	0	24.1092	-16000	0	16.025	 91
DATA	1749719354	984402894	345	256	""	2025-06-12	09:09:14	nan	nan	nan	102.492	23.9826	102.548	33.2345	0	0	24.1309	-16000	0	16.0246	154
DATA	1749719355	984402894	349	256	""	2025-06-12	09:09:15	nan	nan	nan	102.492	24.0013	102.549	33.2345	0	0	24.1539	-16000	0	16.0238	147
DATA	1749719356	984402894	353	256	""	2025-06-12	09:09:16	nan	nan	nan	102.491	24.02	102.549	33.2349	0	0	24.1766	-16000	0	16.0227	 49
DATA	1749719357	984402894	357	256	""	2025-06-12	09:09:17	nan	nan	nan	102.492	24.0381	102.548	33.2353	0	0	24.1992	-16000	0	16.0219	158
